Name;Einwohnerzahl;Fläche in km²;Amtssprache;BIP;Weltrang nach BIP;Weltrang CPI;einlieferer;kontinent
Königreich Dänemark;5732173;2244490;Dänisch;333200000000;32;1;breske;Europa
New Zealand;4445000;269652;Englisch, Maori, neuseeländische Gebärdensprache;161810000000;56;1;breske;NA
Schweden;9644864;438575,8;Schwedisch;538200000000;21;1;breske;Europa
Dschibuti;792198;23200;Arabisch und Französisch;1457000000;168;102;eberle;Afrika
Bhutan;716896;38394;Dzongkha;1985000000;162;45;eberle;Asien
Frankreich;65820916;668763;Französisch;2737361000000;5;23;eberle;Europa
Deutschland;80,767;357167,94;Deutsch;3636000000000;5;12;greve;Europa
Norwegen;5,063709;385199;Norwegisch;483600000000;47;5;greve;Europa
Schweiz;8,1838;41285;Deutsch, Franz. Ital., Rätoromanisch;636000000000;36;7;greve;Europa
Haschemitisches Königreich Jordanien;6343000;89342;Arabisch;29233000000;91;47;lublasser;Asien
Demokratische Republik Timor-Leste;1120392;14954;Tetum;6129000000;147;145;lublasser;Asien
Israel;8238300;22380;Iwrit (Hebräisch), Arabisch;291500000000;37;33;lublasser;Asien
USA;317238626;9826675;de jure: keine, de facto: Englisch;16799700000000;1;18;wiese;Nordamerika
Ukraine;45370000;603700;Ukrainisch;177400000000;57;134;frank;Europa
Niederlande;16820000;41548;Niederländisch, Friesisch;767100000000;18;7;frank;Europa
Taiwan;23360000;36179;Hochchinesisch;489200000000;25;39;frank;Asien
